title,artist,album,cover_url
Good Goodbye,화사 (HWASA),Good Goodbye,https://cdn.guyso.me/image/album/bugs/4130508.jpg
ONE MORE TIME,ALLDAY PROJECT,ONE MORE TIME,https://cdn.guyso.me/image/album/bugs/4133502.jpg
Blue Valentine,NMIXX,Blue Valentine (MIXX Ver.),https://cdn.guyso.me/image/album/bugs/4129960.jpg
SPAGHETTI (feat. j-hope of BTS),LE SSERAFIM (르세라핌), SPAGHETTI,https://cdn.guyso.me/image/album/bugs/4131460.jpg
Golden,HUNTR/X; EJAE; AUDREY NUNA; REI AMI; KPop Demon Hunters Cast,KPop Demon Hunters (Soundtrack from the Netflix Film),https://cdn.guyso.me/image/album/bugs/38176338.jpg
멸종위기사랑,이찬혁,EROS,
뛰어(JUMP),BLACKPINK,뛰어(JUMP),
Drowning,WOODZ,OO-LI,
타임캡슐,다비치,타임캡슐,https://cdn.guyso.me/image/album/bugs/4130608.jpg
FAMOUS,ALLDAY PROJECT,FAMOUS,
FOCUS,Hearts2Hearts (하츠투하츠),FOCUS,
너에게 닿기를,10CM,너에게 닿기를,https://cdn.guyso.me/image/album/bugs/4115921.jpg
toxic till the end,로제(ROSÉ),rosie,https://cdn.guyso.me/image/album/bugs/4111311.jpg
like JENNIE,제니 (JENNIE),Ruby,
달리 표현할 수 없어요,로이킴,달리 표현할 수 없어요,https://cdn.guyso.me/image/album/bugs/4131664.jpg
XOXZ,IVE (아이브),IVE SECRET,
내게 사랑이 뭐냐고 물어본다면,로이킴,내게 사랑이 뭐냐고 물어본다면,https://cdn.guyso.me/image/album/bugs/20677117.jpg
사랑하게 될 거야,한로로,이상비행,
Soda Pop,Saja Boys; Andrew Choi; Neckwav; Danny Chung; Kevin Woo; samUIL Lee; KPop Demon Hunters Cast,KPop Demon Hunters (Soundtrack from the Netflix Film),https://cdn.guyso.me/image/album/bugs/38176338.jpg
Whiplash,aespa,Whiplash - The 5th Mini Album,https://cdn.guyso.me/image/album/bugs/4127586.jpg
body,다영 (DAYOUNG),gonna love me, right?,
NOT CUTE ANYMORE,아일릿(ILLIT),NOT CUTE ANYMORE,https://cdn.guyso.me/image/album/bugs/4134249.jpg
Rich Man,aespa,Rich Man - The 6th Mini Album,
한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity,
나는 반딧불,황가람,나는 반딧불,
APT.,로제(ROSÉ); Bruno Mars(브루노 마스),APT.,https://cdn.guyso.me/image/album/bugs/4108664.jpg
HAPPY,DAY6 (데이식스),Fourever,
Ditto,NewJeans,NewJeans 'OMG',
Die With A Smile,Lady Gaga; Bruno Mars (브루노 마스),Die With A Smile,https://cdn.guyso.me/image/album/bugs/4112579.jpg
천상연,이창섭,천상연,https://cdn.guyso.me/image/album/bugs/4096392.jpg
Love wins all,아이유(IU),The Winning,
모든 날, 모든 순간 (Every day, Every Moment),폴킴(Paul Kim),'키스 먼저 할까요?' OST Part.3,
시작의 아이 ❍,박다혜; 마크툽(MAKTUB),시작의 아이 ❍,
Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',https://cdn.guyso.me/image/album/bugs/4078016.jpg
모르시나요(PROD.로코베리),조째즈,모르시나요,
에피소드,이무진,에피소드,https://cdn.guyso.me/image/album/bugs/4094127.jpg
Cruel Summer,Taylor Swift(테일러 스위프트),Lover,https://cdn.guyso.me/image/album/bugs/922832.jpg
청춘만화,이무진,만화 (滿花),https://cdn.guyso.me/image/album/bugs/4108180.jpg
나는 아픈 건 딱 질색이니까,(G)I-DLE,2,https://cdn.guyso.me/image/album/bugs/4095394.jpg
주저하는 연인들을 위해,잔나비,전설,
BURNING UP,MEOVV (미야오),BURNING UP,
HOT,LE SSERAFIM (르세라핌),HOT,https://cdn.guyso.me/image/album/bugs/4116299.jpg
고민중독,QWER,1st Mini Album 'MANITO',https://cdn.guyso.me/image/album/bugs/4099653.jpg
Flower,오반(OVAN),교회오빠,https://cdn.guyso.me/image/album/bugs/4116029.jpg
어떻게 이별까지 사랑하겠어, 널 사랑하는 거지,AKMU(악뮤),항해,
빌려온 고양이 (Do the Dance),아일릿(ILLIT),bomb,
Magnetic,아일릿(ILLIT),SUPER REAL ME,https://cdn.guyso.me/image/album/bugs/20632324.jpg
Pookie,FIFTY FIFTY,Day & Night,https://cdn.guyso.me/image/album/bugs/37797179.jpg
Welcome to the Show,DAY6 (데이식스),Fourever,
오늘만 I LOVE YOU,BOYNEXTDOOR,오늘만 I LOVE YOU,
